"id"	"receiver_id"	"receiver_type"	"title"	"content"	"type"	"priority"	"is_read"	"create_time"	"read_time"	"expire_time"	"related_id"	"related_type"	"sender_id"	"sender_type"	"created_at"	"updated_at"
"1"	"2024001"	"student"	"欢迎使用IHome宿舍管理系统"	"欢迎您使用IHome宿舍管理系统，祝您住宿愉快！"	"system"	"normal"	"0"	"20/9/2025 16:26:23"					"system"	"system"	"20/9/2025 16:26:23"	"20/9/2025 16:26:23"
"2"	"2024002"	"student"	"宿舍管理规定通知"	"请遵守宿舍管理规定，保持宿舍卫生，注意用电安全。"	"system"	"high"	"0"	"20/9/2025 16:26:23"					"system"	"system"	"20/9/2025 16:26:23"	"20/9/2025 16:26:23"
"3"	"2024003"	"student"	"缴费提醒"	"您的住宿费尚未缴纳，请及时缴费。"	"payment"	"urgent"	"0"	"20/9/2025 16:26:23"			"PR001"	"payment"	"system"	"system"	"20/9/2025 16:26:23"	"20/9/2025 16:26:23"
"4"	"2024001"	"student"	"维修申请已提交"	"您的维修申请已成功提交，工单号：1，维修类型：水电，我们将在24小时内处理。"	"repair"	"normal"	"0"	"20/9/2025 16:26:23"			"1"	"repair"	"system"	"system"	"20/9/2025 16:26:23"	"20/9/2025 16:26:23"
"5"	"2024002"	"student"	"维修申请处理中"	"您的维修申请正在处理中，工单号：2，预计今日完成。"	"repair"	"normal"	"1"	"20/9/2025 16:26:23"			"2"	"repair"	"ADMIN001"	"admin"	"20/9/2025 16:26:23"	"21/9/2025 22:15:03"
"6"	"2024001"	"student"	"宿舍分配完成"	"您的宿舍分配已完成，宿舍号：D01-101，床位：1号床。"	"allocation"	"normal"	"1"	"20/9/2025 16:26:23"			"1"	"allocation"	"system"	"system"	"20/9/2025 16:26:23"	"20/9/2025 16:26:23"
"7"	"ADMIN001"	"admin"	"新的维修申请"	"学生 2024001 提交了新的维修申请，请及时处理。"	"repair"	"high"	"0"	"20/9/2025 16:26:23"			"1"	"repair"	"system"	"system"	"20/9/2025 16:26:23"	"21/9/2025 22:15:43"
"8"	"ADMIN002"	"admin"	"系统维护通知"	"系统将于今晚22:00-24:00进行维护，期间可能影响正常使用。"	"system"	"normal"	"0"	"20/9/2025 16:26:23"					"system"	"system"	"20/9/2025 16:26:23"	"21/9/2025 22:16:26"
"9"	"2024001"	"student"	"欢迎使用IHome宿舍管理系统"	"欢迎您使用IHome宿舍管理系统，祝您住宿愉快！"	"system"	"normal"	"0"	"20/9/2025 16:38:51"					"system"	"system"	"20/9/2025 16:38:51"	"20/9/2025 16:38:51"
"10"	"2024002"	"student"	"宿舍管理规定通知"	"请遵守宿舍管理规定，保持宿舍卫生，注意用电安全。"	"system"	"high"	"0"	"20/9/2025 16:38:51"					"system"	"system"	"20/9/2025 16:38:51"	"20/9/2025 16:38:51"
