"id"	"student_id"	"amount"	"payment_method"	"payment_time"
"1"	"2024001"	"1200.00"	"微信支付"	"18/9/2025 14:29:41"
"2"	"2024001"	"50.00"	"支付宝"	"18/9/2025 14:29:41"
"3"	"2024002"	"1200.00"	"银行卡"	"18/9/2025 14:29:41"
"4"	"2024001"	"1200.00"	"住宿费"	"18/9/2025 14:59:59"
"5"	"2024001"	"1200.00"	"微信支付"	"20/9/2025 16:26:23"
"6"	"2024002"	"1200.00"	"支付宝"	"20/9/2025 16:26:23"
"7"	"2024003"	"1200.00"	"银行卡"	"20/9/2025 16:26:23"
"12"	"2024008"	"1200.00"	"支付宝"	"20/9/2025 16:26:23"
"13"	"2024001"	"1200.00"	"微信支付"	"20/9/2025 16:38:51"
"14"	"2024002"	"1200.00"	"支付宝"	"20/9/2025 16:38:51"
"15"	"2024003"	"1200.00"	"银行卡"	"20/9/2025 16:38:51"
"20"	"2024008"	"1200.00"	"支付宝"	"20/9/2025 16:38:51"
"21"	"2024001"	"1200.00"	"微信支付"	"21/9/2025 13:34:59"
"22"	"2024002"	"1200.00"	"支付宝"	"21/9/2025 13:34:59"
"23"	"2024003"	"1200.00"	"银行卡"	"21/9/2025 13:34:59"
"28"	"2024008"	"1200.00"	"支付宝"	"21/9/2025 13:34:59"
"29"	"2024010"	"100.00"	"住宿费"	"21/9/2025 20:08:20"
"30"	"2024001"	"300.00"	"住宿费"	"24/9/2025 18:13:44"
